"","text","category_id","cateory","ethnic"
"36","土家族掉渣饼 群里有知道土家族掉渣饼的吗？ 我知道啊！",3,"culture","Tujia"
"37","请教：土家族嫁女儿有多少陪嫁 土家族嫁女儿有多少陪嫁 你们土家族嫁女儿，是不是要陪嫁50万？",1,"networking","Tujia"
"38","论服侍一事 湖北孤狼甚叼其一，旅游区开发商搞出来的事，别把这顶帽子往土家族上扣 其二，很多外地人来土家族苗族自治地区旅游，看见街上有人穿民族服装，就误认为是土家服，有的甚至起床在网上，又把这顶帽子往整个土家族上扣 楼主的意思是，做宣传的时候，那些开发商不懂民族文化，对外宣传的时候弄错了服装？还有就是游客分不清楚，弄错了？并不是土家族人故意剽窃苗族的东西。",3,"culture","Tujia"
"39","关于苗族吧部分深水客对土家族的诋毁的说明 毕兹卡（土家族）是国家民委于1956年就已经完成民族鉴别的少数民族。我们的身份无需置疑。为什么苗族吧，有一些深水客精神分裂一般，一会儿说土家族是人造民族，一会儿说土家族是熟苗呢？这里简单介绍苗族吧深水客的背后推手来自“三苗网论坛“。这个论坛的一些苗族来自海外，这伙人一直有着很强烈的政治目的。这个海外，包含了越南苗族，柬埔寨苗族，柬埔寨逃美苗族这些政治势力。所以这些人的话，你们听见后，当作一阵风就过去了。他们的目的就是要混淆视听。当然有几个贵州凯里的苗族几乎也被他们洗脑了。这人忽视即可。你要相信他们也没有问题。本吧就出现过叛徒，有个叫做”傲雪梅花1994“、”吉拉米小妖“的以前本来是土家族，但是人蠢没有办法，相信那伙人谎言，跑到苗族吧重新认祖宗去了。可能你会问，苗族吧的深水客都拿出书来证明自己的观点了。这个更加简单了。书，谁都可以出。苗族背后有个苗学会专门干这个，自己花钱印书，出版有利于自己言论的书籍。下次他们再拿书来糊弄你，你叫他把出版社拍给你看就可以了。保准笑掉你的牙齿。因为好多小出版社，给钱就印。不要因为是书籍，就认为是权威。全国研究少数民族的权威在中央民族大学。最后一句话：走那条路，选择权在你。但是，毕兹卡是有骨气的，对于叛徒，我们记在心里。 你怎么知道这么多呢？",3,"culture","Tujia"
"40","土家语简介 土家语简介",4,"language","Tujia"
"41","土家族民间故事之《人熊嘎婆/熊娘嘎婆》中",3,"culture","Tujia"
"42","【土家族】文献对土家语的记载 土家族语言历史悠久，许多史籍如方志、家谱中皆有记录。《隋书·地理志》记载：“荆州多杂蛮左，其避居山谷者，则语言不通，嗜好居住全异，颇与巴渝同俗”。南宋时候的王象之在《舆地纪胜》中记录：“施之地……乡者蛮夷，巴汉语相混”。这里的“山谷”当包括鄂西渝东的石柱，所谓“蛮左”、“蛮夷”，应当指巴人的后裔土家族，巴汉语相混，可见土家语与古代巴人语有一定的渊源关系。二者有许多共同之处，应属同一语系。例如：二者对鱼和虎的称呼比较一致，巴语称“虎”为“李父”，土家语称“公老虎”为“李爸”，“母老虎”为“李你卡”。“李爸”即“李父”、“李你卡”即“李耳”、“爸”与“父”，“你”与“耳”在声音上是相通的。巴语称“鱼”为“娵隅”，所谓“蛮名鱼为‘隅’是也。土家语中‘鱼’读为song，同于‘颂’的声音，和‘隅’的声音相通。”　　纵观我国的历史典籍，就其土家语的存在、演变与汉语的对照，有比较典型的记录。清朝，王锡撰祺在《小方壶斋舆地丛钞》中记录：“土人言语，呢喃难辨，近开群渐久，能道官音者十有五六。其方语称天曰墨、地曰理、土亦曰理、人曰那、日曰硗、月曰舒舒，云曰麦浪翁、大山曰卡斜、小山曰卡斜鼻、水曰辙、河曰受、路曰喇、池曰熊节、田曰细列格、火曰米烧、热曰古、冷曰撤、树曰卡木、柴曰卡物、竹曰猛、花曰卡帕、官曰夸、民曰马那、祖曰帕布、祖母曰帕八、父曰阿把、母曰阿捏、伯曰阿取、伯娘曰捏取、叔曰阿卑、婶娘曰阿蚁、兄曰阿科、弟曰阿米、姊曰阿大……”由此可见，土家语存在的实际及其特点。　　在民歌衬词中，保留了不少土家语，如《龙船调》中的“抱着恩纳果”即是“看那边”之意；《十杯酒》里的衬词“雷兑、大雷兑、雷大兑”即是“没说对呀没说对”之意；《点兵歌》中衬句“摇祥车”即“太阳落下去了”之意。如此等等，不一而足。 《思南府志》载：“居郡东南者，若印江、若朗溪号曰南客，有客语，多艰觖，不可晓。郡西北若水德蛮夷，若婺川、若沿河，号曰土人，有土蛮。”明弘治《贵州图经－思南府》曰：“沿河，婺川者，曰土人，有土语，彼此不谙，唯在官应役者为汉语耳。”",4,"language","Tujia"
"43","土家族民俗之婚姻",3,"culture","Tujia"
"44","社巴日与摆手舞和社巴歌与摆手歌的关系 一、社巴日    （一）、社巴、舍巴、舍把在土家语中的含义1、社巴    ⑴、社巴：土家语中表示人称代词，和土家语中的另一个人称代词“玛”一样，相当于汉语的“者”或“的人”。 例1、  si55pa55 la21 se51pa55、si55pa55 ta35  se51pa55、si55pa55 xi35 se51pa55。 汉译：衣服  缝  的人 、衣服  穿 的人 、衣服  脱  的人 意译：缝衣服者         穿衣服者        脱衣服者 例2、ka35 se51 pa55、lo21 se51 pa55、mi55lo35 se51 pa55。 汉译：吃  的 人   骂  的  人   烧 火 的  人 意译：吃者        骂者         烧火者 这里的“se51 pa55”用汉语记音，可记成“社巴”。完全是记土家语音而已，无“社巴”这两个汉字的意义。     ⑵、社巴公公、社巴婆婆也是用“社巴”记土家语音而已。 如  ：se51 pa55 pha21 phu55 ku21 pie21 to21。 汉  语：社  巴   公  公  上   先  要 汉意译：社  巴   公   公  要  先  上。 这样记音在湖南少数民族古籍办主编的《摆手歌》中“社巴”一词出现了35次。《土家族摆手活动史料辑》中“社巴”一词，用得多。“舍巴”一词出现较少。“舍把”一词除史料记载外几乎未用。     ⑶、社巴日     彭勇行（1835-1892）的竹枝词《社场》：田家洞畔社场开，姊妹双双赴会来，最爱云鞋花满口，也装莲步上歌台。（有的认为是向晓甫之作）。     “田家洞这里的田姓人凡逢立春后第五个戊日为社日，俗称五戊逢社，要敬社菩萨，举行盛大的社巴调年活动，群众又称‘社巴巴’。田家洞田家人的出社活动已成为特有的一种风俗习惯，它是一种喜庆活动，也带有娱乐的性质，每年二月社节的那天，出社活动就开始了。”     清同治十年《保靖县志》载“正月初间，男女齐集歌舞，祓除不祥，名曰摆手。又谓之调年，立秋日并春秋之社日，亦如之。” 嘉庆版《龙山县志·节日》中记有“春社作米粢，祭社神，曰社粢。戊日禁止犁锄。”                             ——《土家族摆手活动史料辑》     这里“社巴日”，社就带有社戏，社日、社场（即戏场）等意义了。“巴”是“巴望”看的意义。“日”不是一日二日的数量词或节日的“日”，而是“做”的意思了。（请看“社巴日”专论，这里不做叙述了。） 总而言之：社巴日是包括摆手舞在内的土家族民俗活动的节会名称。摆手舞只是这一节会中的一个节目。《摆手歌》就是《社巴歌》。",4,"language","Tujia"
"45","话说，很早前就很想问了，谁听过梯玛神歌？ RT传说中的梯玛神歌百度上的词条含糊其辞优酷上的视频略微坑爹各位同胞们谁有真正的？发上来看看吧~~~~~~~~~ 好像湘西有",1,"networking","Tujia"
"46","湖南龙山虎踩凤三滴木床  木雕洗脸盆架“虎踩凤”体现“巴楚之争”　　“在这几十年来，这种做工精美的木雕洗脸盆架我只看过这一个。”刘卫国说。刘卫国特地指着脸盆架的底部说，“这个洗脸盆架最具特色、最能够体现土家族文化的地方，就是这5根雕有虎图案的‘虎腿’。”据刘卫国介绍，渝鄂湘黔武陵山区土家族是巴国巴人的后裔，虎是巴人的图腾，巴人的这一图腾崇拜被土家族人长期继承和保留下来，并形成土家族的民族标志。　　然而最有意思的是，在这虎腿之下，有一圈凤凰的图腾。“这就是表现出了巴楚之争，”刘卫国说，“凤凰是楚文化的象征，这个虎踩凤的设计表现了当时两种文化的冲突。”　　“这个东西是我在一个土家族家庭的柴火房找到的，”刘卫国说，“记得是上世纪九十年代，我们在湖南吉首市龙山县附近收集这些民间艺术品。当时我们就听当地人介绍，来到某个比较偏远的山村，然后挨家挨户去看，寻找我们需要的艺术品。”",3,"culture","Tujia"
"47","容美土司史 01容美土司概述
02容米部落概述
03容米部落的形成与迁徙
04容米部落的扩张与土司制度的建立
05容美土司的兴起
06永乐定制下的容美土司
07白俚俾之乱
08容美土司的兴盛
09容美土司的衰落
10容美土司的改土归流 中山候汤和师克归州李逢春烽火山寨，分遣南雄候赵庸、宜宁候曹良臣帅兵取桑植、容美洞。及会江夏候周德兴合攻茅冈覃垕寨。庸至中途而返，独良臣会攻诸山寨，平之，和仍驻师归州。
《明史》卷一三三曹良臣传云：
（洪武四年）从伐蜀，克归州山寨，取容美诸土司。会周德兴拔茅冈覃垕寨。
看来，朱明王朝是把容美洞作为覃垕“造反”一十八洞的一部分对待的。其实不然，容美距茅岗数百里，明军入川不会“苛索”到容美。且天气大旱，对容美这个以狩猎等自然采集经济为主要生活来源的地区来讲，亦无大碍，覃垕不会联合容美，容美也不必要跟着他与朱明王朝对抗。《太祖实录》中记载“取容美”，说是“取道容美”可以理解，说是作为覃垕的同党而先“夺取容美”，则完全是受诛连了。《太祖实录》卷七十，洪武四年（公元1371年）十二月丙申条载：
“……四川容美洞宣抚使田光宝子答谷什用（即田胜贵）等来朝，贡方物，纳元所授金虎符。诏赐衣服有差”。
看来，朱明王朝还没有把容美作为覃垕的同党对待。当然，容美土司对朱明王朝亦有不满之处。吴元年正月，改容美洞等处军民宣抚司为黄沙、靖安、麻寮军民宣抚司，并立太平、台宜、麻寮等十寨长官司，比容美原管辖的疆域将近扩大一倍。紧接着于同年三月，湖广行省参政杨璟“取澧州石门县”逼近容美（见《太祖实录》卷二十二吴元年三月条），于洪武二年（公元1369年）六月，策动“土酋覃顺（即覃天顺，台宜长官）、唐勇（即麻寮长官）率众归附”，杨璟奏授前者为添平千户所千户，后者为麻寮千户所千户，而直属官兵系统（见《太祖实录》卷四三洪武二年六月甲子第及七月己酉条）。两所参用流官武臣与土酋为千户之下的百户，以防容美夷寇（见《楚故略?九溪卫》〈添平守御千户所〉?、〈麻寮守御千户所〉。把容美土司统辖的相当大的两个长官司分割出去，而成为“监控“自己的对手，容美司主当然是忿忿在心。尽管内心不满，但还没有达到参与覃垕举兵反对朱明王朝的地步，这也是容美司主处变不惊的独到之处。
洪武五年（公元1372年）正月，澧州蛮向天富“作乱”，涉及到湘鄂西诸洞蛮，朱元璋命卫国公邓愈为征南将军，江夏候周德兴、江阴候吴良为副，将兵讨之（见《太祖实录》卷七十一，洪武五年正月甲戍条）。是年三月，“征南将军卫国公邓愈兵至澧州，遣营阳候杨璟等讨散毛、柿溪、赤溪、安福等二十九洞，平之。（见《太祖实录》卷七十三洪武五年三朋，庚子条）
散毛（今来凤县部分）、柿溪（今桑植县部分）、赤溪（今桑植县部分）、安福（今桑植县城）均是容美土司的近邻，都受到“征讨”，惟容美土司没有受到“征讨”， 避免了一场兵燹之灾，仍受到降级之处分。
《太祖实录》卷七十二、洪武五年正月壬辰条载：
容美洞宣抚使田光宝遣其子答谷什用等来朝贡方物。赐光宝文绮二疋，答谷什用等衣人一袭。仍改（容）美洞军民宣抚司为长官司，秩正六品，以光宝为长官。
同年年底，邓愈平定散毛等三十九洞蛮之乱，班师回朝受赏。由于乱党甚多，散毛柿溪等洞又是容美的近邻，以往也曾结联为乱，故朝廷疑容美及其麾下的小土司可能参于乱事。但怀疑不是事实，终于在洪武七年（公元1374年）十一月又恢复了容美的宣抚地位。《太祖实录》九十四卷洪武七年十一月丁亥条载： 
诏置容美宣抚司家乡寨、五里自（白）崖、椒山玛瑙等处，水浕源通塔坪、石梁下洞、五峰石宝六长官司。
家乡寨和五里、白（误为自）崖两长官司，均是原麻寮土司属地，元末“容米攻劫麻寮”时占据，现属鹤峰县五里乡管辖，家乡寨今为鹤峰县五里乡的杨柳、南村一带，白崖今为水泉村的白崖头一带。椒山玛瑙长官司现属鹤峰县的下坪乡，椒山为椒山溪，今留驾司；玛瑙为马瑙头，今岩门村，以后发展到巴东清江以北野三关以南的马（玛）老（瑙）头。水浕源、通塔坪长官司，均在今五峰县和鹤峰县交交界地之大面地区和百顺桥地区、水浕源司以后又发展到今五峰县东北之水浕司。石梁下洞官长司今为五峰县的石梁荒和鹤峰县的下洞坪地区。五峰石宝（误为宝寨）今为鹤峰县城附近的五峰山、北佳坪，后迁徙至五峰县城之五峰山地区和鹤峰县下坪乡石宝寨地区。这是朱明王朝对容美土司所属范围的第一次界定。其地域位置按现在的区划应为：鹤峰县除大隘关外（走马、铁炉地区）之全部，五峰县除菩提寨以东、长茅关（长茂司）以北之全部，巴东、建始、恩施、长阳清江以南的小部分地区。",3,"culture","Tujia"
